Tiempo (s),Latitud,Longitud,Pitch_K,Roll_K,Tiempo (s),Pitch Accel (°),Pitch Kalman (°),q (°/s),Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s)
24.15074229,25.74466117,-100.2959983,0.47346869,22.52193365,24.15074229,8.850735618,0.47346869,-12.83206107,24.15074229,25.25194735,22.52193365,-20.16793893
24.25785708,25.74466117,-100.2959983,1.639554276,21.84100648,24.25785708,4.727484805,1.639554276,-7.732824427,24.25785708,25.70633672,21.84100648,-11.17557252
24.3645401,25.74466117,-100.2959983,2.588075095,22.01598547,24.3645401,4.459896526,2.588075095,-7.908396947,24.3645401,24.79829811,22.01598547,-1.709923664
24.47155404,25.74466117,-100.2959983,3.934339764,21.94663253,24.47155404,5.284685271,3.934339764,-3.458015267,24.47155404,24.6632594,21.94663253,-4.442748092
24.57863784,25.74466117,-100.2959983,4.713364585,21.81437444,24.57863784,3.739894325,4.713364585,-4.297709924,24.57863784,23.49290918,21.81437444,-3.427480916
24.68539524,25.74466117,-100.2959983,5.311898251,22.17383108,24.68539524,1.45656696,5.311898251,0.122137405,24.68539524,23.55606856,22.17383108,1.435114504
24.7925303,25.74466117,-100.2959983,5.591790901,23.08013604,24.7925303,2.245971363,5.591790901,-3.099236641,24.7925303,25.29898009,23.08013604,4.557251908
24.89933801,25.74466117,-100.2959983,5.104260932,24.03806601,24.89933801,3.461441468,5.104260932,-13.10687023,24.89933801,26.48347801,24.03806601,4.114503817
25.00640917,25.74466117,-100.2959983,4.271737685,27.26703165,25.00640917,-0.867903126,4.271737685,-8.816793893,25.00640917,29.13176431,27.26703165,26.09923664
25.11320686,25.74466117,-100.2959983,6.365052107,28.86946693,25.11320686,4.039813471,6.365052107,13.76335878,25.11320686,28.57999291,28.86946693,14.8778626
25.22024894,25.74466117,-100.2959983,6.602918313,28.29905723,25.22024894,-0.048847278,6.602918313,5.816793893,25.22024894,29.05618559,28.29905723,-7.519083969
25.32729411,25.74466117,-100.2959983,7.105189442,28.62985843,25.32729411,-0.848151949,7.105189442,12.27480916,25.32729411,27.59368188,28.62985843,4.442748092
25.43443108,25.74466117,-100.2959983,6.944710818,26.83562048,25.43443108,-2.214917984,6.944710818,10.16030534,25.43443108,28.26536917,26.83562048,-20.25954198
25.54149842,25.74466117,-100.2959983,8.399780977,22.19080323,25.54149842,-0.990783503,8.399780977,27.55725191,25.54149842,22.68640773,22.19080323,-45.22900763
25.64831996,25.74466117,-100.2959983,10.68160332,17.83375677,25.64831996,3.392932837,10.68160332,32.88549618,25.64831996,18.044695,17.83375677,-42.09160305
25.75535583,25.74466117,-100.2959983,10.75825003,17.46684203,25.75535583,3.152388907,10.75825003,14.4351145,25.75535583,18.67767712,17.46684203,-6.923664122
25.86224461,25.74466117,-100.2959983,9.853130665,18.0269311,25.86224461,4.560058831,9.853130665,2.015267176,25.86224461,20.34967399,18.0269311,-0.778625954
25.96903825,25.74466117,-100.2959983,8.68885144,19.52399493,25.96903825,10.50663666,8.68885144,-13.96183206,25.96903825,21.20608475,19.52399493,8.839694656
26.07611394,25.74466117,-100.2959983,8.017671572,19.93109088,26.07611394,8.955058162,8.017671572,-7.908396947,26.07611394,21.68246236,19.93109088,-1.839694656
26.18317151,25.74466117,-100.2959983,7.80976247,20.54872324,26.18317151,6.454436723,7.80976247,0.954198473,26.18317151,23.63984404,20.54872324,-2.977099237
26.29028153,25.74466117,-100.2959983,7.472775904,20.79097264,26.29028153,7.307343074,7.472775904,-2.419847328,26.29028153,22.87757581,20.79097264,-5.045801527
26.3972888,25.74466117,-100.2959983,8.448676265,23.87327783,26.3972888,6.332619426,8.448676265,13.8778626,26.3972888,18.61501578,23.87327783,36.12977099
26.50429749,25.74466117,-100.2959983,11.08823398,29.50778315,26.50429749,3.776770195,11.08823398,40.53435115,26.50429749,29.97013891,29.50778315,49.32061069
26.61130476,25.74466117,-100.2959983,11.83151082,31.59752662,26.61130476,8.613633139,11.83151082,15.8778626,26.61130476,29.84110588,31.59752662,20.65648855
26.71839428,25.74466117,-100.2959983,13.29533617,32.37929759,26.71839428,6.852614344,13.29533617,29.88549618,26.71839428,31.89887262,32.37929759,6.167938931
26.82517505,25.74466117,-100.2959983,12.30827953,34.36853038,26.82517505,2.46184505,12.30827953,15.26717557,26.82517505,38.33218044,34.36853038,8.41221374
26.93215466,25.74466117,-100.2959983,9.613881973,34.26381409,26.93215466,-0.750586743,9.613881973,2.351145038,26.93215466,36.04877258,34.26381409,-7.480916031
27.03895378,25.74466117,-100.2959983,8.035055657,37.02521347,27.03895378,-6.01413315,8.035055657,22.44274809,27.03895378,38.66268238,37.02521347,19.25954198
27.14604688,25.74466117,-100.2959983,5.274720873,35.32444984,27.14604688,-6.009479703,5.274720873,8.541984733,27.14604688,33.6330379,35.32444984,-15.96183206
27.25307465,25.74466117,-100.2959983,4.243883036,32.53305918,27.25307465,-2.01648343,4.243883036,16.67175573,27.25307465,29.79292303,32.53305918,-23.61832061
27.36013365,25.74466117,-100.2959983,5.380127949,35.82342842,27.36013365,7.284808793,5.380127949,21.41984733,27.36013365,47.73715631,35.82342842,3.65648855
27.46716142,25.74466117,-100.2959983,3.467338624,29.67539215,27.46716142,7.876560673,3.467338624,-12.59541985,27.46716142,40.17446156,29.67539215,-84.03053435
27.57398438,25.74466117,-100.2959983,0.963820993,22.76544247,27.57398438,6.140294051,0.963820993,-20.58015267,27.57398438,21.29115522,22.76544247,-68.67938931
27.68102455,25.74466117,-100.2959983,-0.875308381,24.51948554,27.68102455,2.219413439,-0.875308381,-11.18320611,27.68102455,25.16945273,24.51948554,8.236641221
27.78817606,25.74466117,-100.2959983,-2.113761783,26.11618242,27.78817606,2.791121899,-2.113761783,-9.86259542,27.78817606,30.9202063,26.11618242,-1.923664122
