Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s),,,,
31.42699766,-6.0295852,-6.562695672,-33.77099237,,,,
31.53433394,-11.8251345,-9.629729981,-25.44274809,,,,
31.64152932,-14.93711372,-11.04614664,-6.198473282,,,,
31.7488234,-15.20166537,-12.44957296,-7.603053435,,,,
31.85565186,-14.46193152,-14.13215261,-14.65648855,,,,
31.96249843,-13.02664615,-16.93678253,-33.86259542,,,,
32.06930184,-21.86522614,-20.26572276,-28.20610687,,,,
32.17608142,-23.48039608,-22.3951847,-17.72519084,,,,
32.28289771,-18.64569345,-22.05356709,-3.610687023,,,,
32.39013529,-25.36356602,-26.34852844,-42.72519084,,,,
32.49738312,-28.83876363,-27.39197105,-7.435114504,,,,
32.60456824,-35.40805309,-28.47174415,3.763358779,,,,
32.71166539,-20.22059604,-23.9148501,35.93129771,,,,
32.81858873,-23.20053018,-24.35831188,-6.259541985,,,,
32.92542696,-22.61413949,-23.24340766,9.160305344,,,,
33.03226709,-20.79246642,-23.17812964,-4.396946565,,,,
33.13908887,-22.30788122,-22.30641493,7.580152672,,,,
33.2459619,-52.86978148,-28.38417811,-7.13740458,,,,
33.35318685,-29.17317863,-29.79751916,-10.15267176,,,,
33.4605732,-7.314090016,-22.74501538,38.30534351,,,,
33.56772041,0.146038204,-10.24464482,96.26717557,,,,
33.67472935,-4.274396246,-14.45671863,-61.22137405,,,,
33.78161478,-11.67333848,-3.59534473,115.1984733,,,,
33.88843894,18.7281767,3.467684085,33.29007634,,,,
33.99525857,6.634772958,-0.886556134,-60.70992366,,,,
34.10209036,-3.662943293,-8.466582313,-86.85496183,,,,
34.20892882,-39.69043767,-15.69904201,-25.35114504,,,,
34.31571555,-29.56953133,-18.45203416,-5.053435115,,,,
34.42296672,-20.96225035,-18.32293916,6.740458015,,,,
34.5302937,42.71951468,-4.995224585,27.0610687,,,,
34.63730693,11.91070415,2.147166953,37.66412214,,,,
34.74437714,5.869460413,1.785113833,-22.73282443,,,,
34.85116029,-2.441735417,5.199617697,35.80152672,,,,
34.95806265,13.7107468,8.936523711,14.93129771,,,,
35.06488585,14.57513125,8.499987449,-27.77099237,,,,
35.17170262,20.47189736,17.01241061,60.14503817,,,,
35.27852345,30.42209087,30.21942587,110.1145038,,,,
35.38551664,30.11717415,31.1618077,-2.198473282,,,,
35.49253154,28.20016909,29.78420994,-22.58015267,,,,
35.59954333,22.7652485,33.00089397,38.42748092,,,,
35.7066083,24.84238911,31.19308043,-14.42748092,,,,
35.81341457,21.18223275,29.88204651,-3.679389313,,,,
35.92019129,27.62623959,35.024008,55.82442748,,,,
36.0270164,24.96137697,33.36227406,-4.328244275,,,,
36.13383675,24.10671512,32.31696835,2.740458015,,,,
36.24062228,21.66842789,29.44970873,-13.54198473,,,,
36.34769368,21.124386,28.15738215,1.229007634,,,,
36.45474863,26.36023549,26.27606499,-17.45801527,,,,
36.56179571,22.81616996,25.23100395,-4.534351145,,,,
36.66875315,29.65186875,28.21331801,25.66412214,,,,
36.77556586,35.57854761,30.17998987,7.763358779,,,,
36.88261366,28.66777627,28.49790009,-16.71755725,,,,
36.98993874,19.61974095,26.51777064,-4.992366412,,,,
37.09728694,24.87766894,25.32649021,-9.442748092,,,,
37.20448351,33.16368279,23.40689553,-37.0610687,,,,
37.3116622,38.09256692,22.06135053,-46.59541985,,,,
37.41888404,23.59597277,18.10794578,-52.52671756,,,,
37.52604055,7.621279719,10.24693101,-73.3740458,,,,
37.63284445,-5.080525924,4.083658351,-43.67938931,,,,
37.73989773,-7.701236078,6.37665195,47.35114504,,,,
37.84674358,-1.559610801,9.170898053,47.86259542,,,,
37.9539156,1.143761788,6.281639081,-14.58015267,,,,
38.06073141,-1.708724804,5.426103302,9.580152672,,,,
38.16775846,4.262436439,3.870137154,-11.00763359,,,,
38.27481866,7.793962584,3.940692398,-2.961832061,,,,
38.38158703,7.225787248,3.973691439,-2.854961832,,,,
38.48858976,3.218364054,2.920447713,-7.618320611,,,,
38.59562802,2.355230495,2.316233807,-2.93129771,,,,
38.70273519,6.583724783,3.672271134,9.480916031,,,,
38.80991077,8.007413506,4.471149941,2.404580153,,,,
38.91696072,7.855941139,5.042372696,1.045801527,,,,
39.0234983,9.007945817,6.057974899,4.358778626,,,,
39.13045311,8.797957172,5.958178268,-6.465648855,,,,
39.23737144,8.530001564,6.075887688,-4.183206107,,,,
39.34722829,11.39340439,6.235425001,-9.847328244,,,,
39.45332789,10.78751352,6.352215364,-9.633587786,,,,
39.55969906,12.9395832,5.273039507,-28.76335878,,,,
39.66588235,2.674692515,0.753239808,-50.6870229,,,,
39.7718215,8.601848724,5.870456124,37.9389313,,,,
39.87776971,17.55618236,10.85267179,28.00763359,,,,
39.98367047,12.63751236,12.83208846,12.57251908,,,,
40.08958364,9.733333412,12.60387427,-2.702290076,,,,
40.19552684,18.87753382,14.82320254,6.694656489,,,,
40.30142641,15.72853958,17.56038217,22.90839695,,,,
40.40733409,16.41852668,17.54675374,-4.145038168,,,,
40.51344156,22.21886871,18.55359769,-4.167938931,,,,
40.61934209,22.03032661,17.28780528,-28.58015267,,,,
40.72522712,11.92755806,12.49398168,-51.90839695,,,,
40.83115268,15.35562189,12.6841188,-11.40458015,,,,
40.93708086,13.02212776,4.104114476,-107.610687,,,,
41.04323816,13.55751189,9.78399212,35.81679389,,,,
41.1492939,7.815293547,13.74746863,38.76335878,,,,
41.25523758,13.07568105,15.07890186,7.091603053,,,,
41.36113286,4.907376916,14.37402171,3.694656489,,,,
41.46704221,21.90184774,19.97103046,41.58778626,,,,
41.57296538,20.51504379,15.98290372,-54.67938931,,,,
41.67887115,15.41280682,19.53419525,33.45038168,,,,
41.78477359,10.48216138,16.9600115,-18.6870229,,,,
41.89067411,12.27361368,14.86654625,-20.86259542,,,,
41.99658656,23.35371611,8.819860058,-93.00763359,,,,
42.10249186,10.10503637,11.31191513,17.16793893,,,,
42.20838165,1.47712958,8.187923191,-24.25954198,,,,
42.31430769,2.127281235,3.314512683,-50.82442748,,,,
42.42021275,4.969740728,-0.509512995,-54.41984733,,,,
42.52613473,-11.65374562,-4.629757751,-32.53435115,,,,
42.63213396,-14.53717741,-4.953780293,10.00763359,,,,
42.73815894,-23.96409309,-3.923545832,46.24427481,,,,
42.84407043,1.600663115,-3.240491326,-4.27480916,,,,
