Tiempo (s),Pitch Accel (°),Pitch Kalman (°),q (°/s)
12.504486083984375,-12.45055758621674,-11.96101077473555,25.16793893129771
12.610771656036377,-3.7442607553787726,-7.9785331039064245,26.580152671755727
12.716723918914795,3.0577124473118342,-7.615374995702419,-21.64885496183206
12.822625637054443,1.6342857760544969,-5.400770224378039,1.1374045801526718
12.928527355194092,-2.1585991316425996,-3.386956536628161,9.816793893129772
13.034442663192749,-1.5326550822106324,-0.3397753342335643,24.320610687022903
13.14035439491272,4.10091911072574,0.17732622320471556,-9.885496183206106
13.246283769607544,3.952442944427791,2.1975375060766487,7.99236641221374
13.35221552848816,11.975084252253357,4.384311184010435,-2.83206106870229
13.458320140838623,2.178997682719901,2.05886115374614,-31.526717557251914
13.564603567123413,-10.56159794730345,-5.563626515290612,-70.93129770992367
13.670896291732788,-4.3097402625227295,-3.547560829750041,12.17557251908397
13.776876449584961,31.662115212483744,1.062471702363304,-27.83969465648855
13.883159637451172,12.072907908908094,0.06804971900584725,-48.541984732824424
13.99071216583252,9.480655504291803,2.8671108189058523,-4.076335877862595
14.097030878067017,11.10324493756884,5.8738284002365235,-0.8473282442748091
14.20301342010498,12.807425509474868,9.849337152293712,12.099236641221374
14.308942556381226,11.052368268046813,11.730750980166786,-0.6335877862595419
14.414838790893555,6.126043980945351,12.618051238818254,2.145038167938931
14.521608114242554,9.189669475363873,13.754980366310626,1.8244274809160306
14.628580570220947,6.163351942246497,13.235823800336263,-7.778625954198474
14.73537015914917,6.677963050061089,14.108283692615606,7.3893129770992365
14.842219591140747,16.514149825135643,18.937576213487578,35.717557251908396
14.94899296760559,20.13383014307272,18.92762742427141,-16.580152671755727
15.055869817733765,9.126678223993077,16.91549987046846,-17.076335877862597
15.162763595581055,5.3186506701074086,16.02669071684095,1.015267175572519
15.26953411102295,13.282492134283178,15.201668667434802,-14.290076335877863
15.376530885696411,16.003465001538338,14.458257424950041,-20.267175572519083
15.48354196548462,7.744805614505516,14.54974646169208,4.396946564885496
15.59039044380188,8.72698835101788,14.636085011135156,3.8778625954198476
15.697229623794556,8.702864591892679,15.340023603628016,12.36641221374046
15.80417537689209,12.459533953729274,16.025323603736656,7.213740458015268
15.911113977432251,16.92820599676783,16.508511458123152,-2.1603053435114505
16.0179660320282,10.19315823154552,14.492710206250255,-15.916030534351144
16.124808311462402,10.09349284415078,13.255086905786648,-10.114503816793894
16.231626510620117,14.555214398995943,16.575187595915345,30.832061068702295
16.33865785598755,13.303642451657675,17.050081666464386,8.16030534351145
16.445678234100342,13.744879220756445,17.226176711789584,5.557251908396947
16.55255889892578,20.022496735168765,18.33579804738869,4.366412213740458
16.659541845321655,18.566999067986515,18.305380396136947,-3.6946564885496183
16.766637325286865,15.674592489695607,18.783682856793906,7.931297709923665
16.873436212539673,17.428121661738206,19.119103138143963,4.305343511450381
16.980262994766235,20.88671209126436,19.69830608789474,1.0229007633587786
17.087071180343628,20.915474131660684,18.840816563342468,-14.488549618320612
17.193889379501343,26.447832174056565,18.006024516104635,-27.786259541984734
17.30066418647766,22.465816167841854,19.255178054140387,0.7786259541984732
17.407685041427612,12.540710958244656,18.78305518992577,3.450381679389313
17.51477360725403,13.801701076694382,17.429946395881633,-8.900763358778626
17.621867418289185,7.0661181325378655,16.33403426010047,5.809160305343512
17.728756427764893,4.6300199336879535,15.481011584355189,13.198473282442748
17.83523392677307,19.02586764200847,11.869210618473813,-47.43511450381679
17.942342042922974,12.197450249067527,7.271553100667992,-53.69465648854962
18.049165725708008,11.846126921001732,5.669582851692903,-28.96946564885496
18.155953407287598,11.797999965628552,7.420317228772496,4.793893129770993
18.263017416000366,15.359300404427252,11.312043207744948,24.641221374045802
18.37006950378418,16.49746729260884,15.697663772938416,35.02290076335878
18.47706437110901,14.518700079343233,20.276633086280864,50.13740458015267
18.584110260009766,14.067156796475269,17.99107986496646,-16.595419847328245
18.691186666488647,15.489728925798662,20.901682496755097,35.80152671755725
18.79807710647583,19.873386027786285,19.470381257675143,-15.603053435114502
18.904879808425903,13.968536332384021,16.559506328227503,-23.404580152671755
19.011686325073242,16.479099017055002,15.759564672441245,-9.938931297709924
19.11857581138611,19.22279695278916,16.235557849590602,-2.801526717557252
19.225372791290283,20.677020609796138,18.38669961680513,13.702290076335878
19.33215022087097,25.284928985030035,21.7699868130665,22.274809160305345
19.43916606903076,19.051204601771783,24.008036582242298,28.259541984732824
19.54623055458069,14.022194048138351,25.775226143885728,38.74809160305343
19.653209447860718,17.75790186747804,25.28263036953221,11.320610687022901
19.760311603546143,12.174350616516904,23.558142048740038,9.259541984732824
19.86724328994751,12.643842828543386,24.63883958822953,39.0
19.974146127700806,13.601431540899025,21.178931440252008,-10.068702290076336
20.080998420715332,14.275563191237515,17.591786777894797,-18.49618320610687
20.187874794006348,20.693910257309597,12.531944631998142,-55.229007633587784
